timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,roll,pitch,yaw,att_sp_roll,att_sp_pitch,att_sp_yaw,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,att_cmd_roll,att_cmd_pitch,att_cmd_yaw,rate_cmd_roll,rate_cmd_pitch,rate_cmd_yaw,altitude,climb_rate,flight_state,flight_mode
194286,-2.447,0.044,1.438,29.683,-1.187,-11.167,-0.1053,-0.2084,-0.0382,0.9716,-1.903,24.398,11.959,0.176,-1.408,2.639,0.004,-0.031,0.012,12.312,-60.000,2.639,-0.540,-0.331,0.252,2.06,-1.10,1,0
194333,-0.390,-0.025,0.521,-36.021,8.643,-25.743,-0.0943,-0.0614,-0.0165,0.9935,-1.229,7.184,10.770,0.176,-1.408,-12.845,0.004,-0.031,0.012,6.526,-29.580,0.704,0.476,-0.589,0.879,2.85,0.37,2,0
194358,-0.393,-0.011,0.624,-41.314,-5.394,-22.695,-0.0877,-0.0642,-0.0296,0.9936,-2.756,7.631,9.902,0.176,-1.408,-5.630,0.004,-0.031,0.012,15.395,-31.470,-5.630,0.628,-0.358,0.451,2.86,0.22,2,0
194372,-0.392,-0.009,0.654,-35.613,-11.624,-22.329,-0.0857,-0.0640,-0.0337,0.9937,-3.242,7.645,9.636,0.176,-1.408,0.000,0.004,-0.031,0.012,17.786,-31.602,-2.815,0.677,-0.179,0.506,2.85,0.22,2,0
194387,-0.392,-0.009,0.654,-35.613,-11.624,-22.329,-0.0857,-0.0640,-0.0337,0.9937,-3.242,7.645,9.636,0.176,-1.408,0.000,0.004,-0.031,0.012,17.786,-31.602,-2.815,0.677,-0.179,0.506,2.85,0.22,2,0
194421,-0.393,0.000,0.734,-21.570,-40.103,-19.934,-0.0784,-0.0558,-0.0451,0.9943,-4.672,6.778,8.739,0.088,0.704,2.111,0.004,-0.031,0.012,26.574,-25.756,2.111,0.787,0.274,0.403,2.82,-0.63,2,0
194452,-0.396,0.002,0.752,-10.818,-45.803,-18.781,-0.0751,-0.0486,-0.0477,0.9948,-5.051,5.963,8.367,-1.408,8.842,2.111,0.004,-0.031,0.012,25.511,-5.588,2.111,0.654,0.430,0.530,2.81,-0.23,2,0
194487,-0.412,0.004,0.727,13.687,-35.781,-16.655,-0.0692,-0.0362,-0.0458,0.9959,-4.958,4.495,7.760,0.000,10.073,2.111,0.004,-0.031,0.012,27.642,19.279,2.111,0.061,0.635,0.512,2.79,-0.29,2,0
194507,-0.417,0.008,0.718,19.422,-26.457,-16.274,-0.0671,-0.0335,-0.0429,0.9963,-4.658,4.163,7.540,0.000,9.018,2.111,0.004,-0.031,0.012,26.497,18.562,2.111,-0.098,0.391,0.467,2.77,-1.03,2,0
194538,-0.462,0.017,0.726,29.379,-3.242,-16.030,-0.0630,-0.0331,-0.0362,0.9968,-3.905,4.045,7.093,-0.044,5.674,2.111,0.004,-0.031,0.012,22.761,13.645,2.111,-0.373,-0.033,0.476,2.74,-0.93,2,0
